"Modern Eng.","Phase","Step","Actions (human defined)","Demonstrable AI Use Case"
"Eng. Mgmt.","Planning","Develop business case +4","Discussion, meeting notes and to-do's, gather data, envision metrics, identify stack, estimate effort, forecast ROI, Wireframe, Data Model","Transcribe discussions and summarize meeting notes, capturing decisions, risks, and to-dos with owners and due dates. Extract action items and convert meeting outcomes into a prioritized task list. Aggregate internal and external data sources to populate baseline metrics and historical effort profiles. Define success metrics and measurable KPIs tied to business objectives. Propose technology stack options with trade-offs and implementation constraints. Estimate effort using historical velocity and parametric models. Forecast ROI across scenario variants including costs, adoption, and revenue. Generate wireframe mockups and a draft data model/schema with key entities and APIs."
"Eng. Mgmt.","Planning","Gather requirements/epics from stakeholders +1","Develop business case","Transcribe stakeholder interviews and meetings into searchable, time‑coded notes. Summarize needs into prioritized epics, user stories, personas, acceptance criteria, and extract action items with owners. Map requirements to business objectives and KPIs and produce a traceability matrix. Quantify benefits and estimate costs, model ROI and NPV scenarios with sensitivity analysis, and estimate implementation effort using historical velocity and analogous projects. Draft a business case with executive summary, problem statement, proposed scope, cost‑benefit tables, risk assessment, recommended funding request, and presentation‑ready artifacts for decision review."
"Eng. Mgmt.","Planning","Application/portfolio assessment","Develop business case","Assess application portfolio health by aggregating usage, performance, licensing, business criticality, and technical debt into standardized value and risk scores. Calculate total cost of ownership, annual run costs, migration and modernization expenses, and model ROI, NPV, and payback across multiple investment scenarios. Identify security, compliance, and integration risks with quantified impact and likelihood. Recommend disposition options (retain, replatform, refactor, replace, retire) and prioritize initiatives using business value and effort estimates derived from historical project data. Produce a stakeholder-ready business case with financial models, sensitivity analysis, KPIs, and an implementation roadmap."
"Eng. Mgmt.","Planning","Define high-level project scope and success criteria","Develop business case","Create a one-page business case that defines high-level project scope, objectives, key stakeholders, major deliverables, constraints and assumptions, and measurable success criteria and KPIs. Model ROI with baseline, optimistic, and pessimistic scenarios and run sensitivity analysis on cost and timeline variables. Estimate effort, duration, and resource needs from historical project data and analogous estimates. Synthesize stakeholder meeting transcripts into concise requirements, acceptance criteria, and action items. Highlight top risks, mitigation options, and a recommended go/no-go decision with an executive summary."
"Eng. Mgmt.","Planning","Perform risk analysis","Develop business case",""
"Eng. Mgmt.","Planning","Develop project plan/Milestones","Create epics and user stories","Generate epics aligned to project objectives and business outcomes. Break each epic into prioritized user stories with clear acceptance criteria, acceptance tests, and Definition of Done. Estimate story points using historical velocity and complexity factors and assign resources and roles to each story. Group stories into time-boxed milestones and sprints, map dependencies and risks, and calculate milestone dates and the critical path. Produce a prioritized backlog, a milestone-based roadmap and sprint plans, and export artifacts in Jira, CSV, or Excel formats for stakeholder review."
"Eng. Mgmt.","Planning","Deploy and tailor Visulaiztion engine","Create epics and user stories","Generate epics that define deployment objectives for the visualization engine, including production readiness, multi-environment configuration, data-source adapters, and performance SLAs. Break epics into user stories with clear acceptance criteria, definition of done, UX mockups, automated test cases, and data validation checks. Estimate effort using historical velocity to assign story points, task-level time estimates, and sprint placement. Identify implementation tasks for CI/CD pipelines, infrastructure provisioning, rollback procedures, feature-flag rollouts, and security/access controls. Specify monitoring KPIs, logging/alerting requirements, performance benchmarks, and release verification steps. Export ticket templates with priorities, labels, dependencies, and estimated SLAs for direct import into tracking tools."
"Eng. Mgmt.","Requirements Gathering","Document detailed functional requirements","Create epics and user stories","Generate epics and user stories from product requirements, stakeholder input, or existing documents, including clear titles, descriptive narratives, acceptance criteria, definition of done, priority, estimated story points, and dependencies. Map stories to personas, business goals, and higher-level features; group stories into epics and milestones; create release slices and sprint candidates. Produce acceptance-test scenarios and test data needs, a traceability matrix linking stories to requirements, and a refined backlog with suggested grooming tasks and effort estimates derived from historical velocity."
"Eng. Mgmt.","Requirements Gathering","Document non-functional requirements","Create epics and user stories","Convert a non-functional requirements document into epics and backlog-ready user stories with clear, testable acceptance criteria and measurable success metrics. Assign priority and estimate effort in story points using historical data-driven heuristics. Map each story to original NFR clauses in a traceability matrix and capture dependencies, risks, and implementation constraints. Specify performance targets (latency, throughput), availability and recovery SLAs, security controls, compliance requirements, scalability limits, monitoring and KPI metrics, and non-functional test plans. Export artifacts formatted for Jira, CSV, or other common agile tools."
"Eng. Mgmt.","Requirements Gathering","Define data requirements","Create epics and user stories","Generate epics and user stories from data requirements, each mapped to required data fields, target schemas, API contracts, acceptance criteria, and example payloads. Include data quality rules, validation logic, lineage and traceability to source systems, sample test cases, and measurable success metrics/KPIs. Estimate effort and story points using historical velocity, surface dependencies and risks, and produce a minimal-slice implementation plan prioritized for sprints. Format backlog-ready items with INVEST-compliant descriptions, explicit acceptance tests, and accompanying data artifacts (ER diagrams, JSON/Avro schemas) for handoff to engineering and QA."
"Eng. Mgmt.","Requirements Gathering","Validate requirements with stakeholders","Create epics and user stories","Generate epics and user stories from stakeholder requirements and meeting transcripts. Include clear acceptance criteria, definition of done, and executable acceptance tests for each story. Map stories to business objectives and KPIs, and link them to original requirements in a traceability matrix. Estimate effort using historical velocity and past-story-point data, and prioritize the backlog with WSJF or configurable scoring. Create task breakdowns and subtasks ready for sprint planning, exportable to Jira/CSV. Summarize stakeholder feedback, extract action items, and produce a concise validation checklist for stakeholder sign-off."
"Eng. Mgmt.","Requirements Gathering","Create epics and user stories +7","Create epics and user stories","Generate epics and user stories from raw requirements, stakeholder interviews, or product briefs. Split large epics into vertical, deliverable user stories and define clear, testable acceptance criteria using Gherkin when appropriate. Assign story points and suggest priority using historical velocity and past-task analogies, and identify dependencies and blockers. Create tasks and subtasks with estimated effort, acceptance tests, and owner tags. Map items to roadmap themes, releases, and milestones. Export a structured, sprint-ready backlog to JIRA, Trello, CSV, or JSON and produce a capacity-aligned sprint plan with highlighted risks and open questions."
"Eng. Mgmt.","Requirements Gathering","Prioritize epics and user stories","Gather requirements/epics from stakeholders","Aggregate stakeholder requirements and meeting transcripts into a normalized backlog of epics and user stories. Extract acceptance criteria, dependencies, constraints, and unresolved questions from notes, recordings, and documents. Estimate relative effort using historical velocity, analogous-story lookup, and statistical effort models. Score items with configurable metrics (business value, risk reduction, user impact, cost) and calculate WSJF and ROI scenarios. Rank and group backlog items, flag cross-epic dependencies and bottlenecks, and generate a prioritized release roadmap with recommended scope per milestone."
"Eng. Mgmt.","System Design","Define system architecture (microservices, cloud native, etc.) +1","Ingest CMDB or existing design diagrams (Configuration Management - incl.  CMDB)","Ingest CMDB records and existing design diagrams, normalize configuration items and relationships into a canonical model. Extract systems, services, hosts, networks, dependencies and deployment details for architecture analysis. Define system architecture with recommended microservice boundaries, service responsibilities, data ownership and event-driven flows. Map components to cloud-native patterns (containers, serverless, managed services), specify deployment topology, network segmentation and security zones. Generate component, sequence and deployment diagrams, API surface lists, a migration and refactoring roadmap, and prioritized effort estimates derived from historical project metrics."
"Eng. Mgmt.","System Design","Create high-level design (modules, interfaces, etc.)","Wieframe, Specs","Generate a high-level design that defines system modules, responsibilities, and public interfaces, accompanied by annotated wireframes and concise technical specs. Produce component decomposition, sequence and integration flows, API contracts with methods/inputs/outputs and error codes, a draft data model, and interface interaction rules. Recommend technology stack options and deployment boundaries. Highlight key non-functional requirements, scalability and security considerations, and acceptance criteria. Export deliverables as wireframes, interface tables, sequence diagrams, and a one-page spec summary."
"Eng. Mgmt.","System Design","Define data design (ER diagrams, database schema)","Plan integration points with other systems",""
"Eng. Mgmt.","System Design","Plan integration points with other systems","Plan for transport, cadence, fallbacks, PII, Data Classification","Define integration endpoints and data flows for each external system, documenting message schemas, API versions, and authentication methods (OAuth 2.0, mTLS, API keys). Specify transport protocols and encryption requirements (HTTPS/TLS 1.2+, SFTP, VPN) and token rotation and key management policies. Establish data exchange cadence, batching rules, SLA targets, retry/backoff logic, idempotency guarantees, and fallback paths (queueing, dead-letter, alternate provider). Classify all exchanged fields for PII and sensitivity, assign retention, redaction/masking and DLP rules, and record audit trails, monitoring metrics, and runbooks for incident response and schema evolution."
"Eng. Mgmt.","System Design","Choose technology stack (language, framework, etc.)","Define system architecture (microservices, cloud native, etc.)","Map the defined architecture (microservices, cloud-native, serverless, monolith) to compatible languages, frameworks, databases, messaging, and infrastructure services. Prioritize options by nonfunctional requirements (scalability, latency, availability), team expertise, licensing and cloud cost, ecosystem maturity, and operational complexity. Produce a side-by-side comparison that lists trade-offs, integration points, deployment patterns (containers, serverless, VM), CI/CD, monitoring, and security controls. Estimate implementation effort and migration risk using historical project metrics and provide a recommended stack with rationale and key risks."
